pais_id;nom_pais;sag;nom_provincia;departamento;link;cant_acopi;cap_menos2;cap_2a5;cap_5a10;cap_mas10;codset
32;Argentina;Gestion de la Informacion de la SCCA;SALTA;CERRILLOS;66035;11;5;3;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SALTA;CHICOANA;66042;3;3;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SALTA;LA VINA;66098;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CHACO;QUITILIPI;22133;2;2;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CHACO;25 DE MAYO;22168;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SANTIAGO DEL ESTERO;JIMENEZ;86091;2;1;1;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CHACO;INDEPENDENCIA;22070;2;1;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CHACO;COMANDANTE FERNANDEZ;22021;25;11;7;1;1;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CHACO;9 DE JULIO;22105;9;3;6;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CHACO;GENERAL BELGRANO;22049;10;1;2;3;2;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CHACO;CHACABUCO;22028;16;5;3;3;3;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CHACO;PRESIDENTE DE LA PLAZA;22119;1;1;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CHACO;12 DE OCTUBRE;22036;8;3;2;1;1;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;SANTIAGO DEL ESTERO;BANDA;86035;9;9;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CHACO;O'HIGGINS;22112;5;0;3;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CHACO;SAN LORENZO;22147;0;0;0;0;0;1,03E+25
32;Argentina;Gestion de la Informacion de la SCCA;CHACO;MAYOR LUIS J. FONTANA;22098;20;6;6;5;0;1,03E+25
